axis,r2,mae,rmse
axis1,-0.4541097273104986,2.1426285108815435,2.5744245969651334
axis2,-1.0829043496104092,8.786136864922579,9.618626095658152
axis3,-1.0953830343577748,6.536577658338574,7.2038927321851585
axis4,-0.6429453185409635,1.7017794112199496,1.9633487567733354
axis5,-0.8146317074416465,2.523378679789539,2.7511600050517484
axis6,-0.45582920538950256,1.718698147370147,2.09633362692482
axis7,-0.6697668088025208,2.56145116903823,2.7143340914450342
axis8,-0.24181262895667355,0.31168183377317826,0.4574792706818138
